iter	Passed	Remaining
0	181	181607
1	182	91251
2	183	61086
3	184	46000
4	185	36959
5	186	30921
6	187	26606
7	188	23377
8	189	20863
9	190	18847
10	191	17200
11	192	15838
12	193	14692
13	194	13706
14	195	12845
15	196	12086
16	197	11425
17	198	10844
18	199	10311
19	200	9834
20	201	9401
21	202	9009
22	203	8649
23	204	8317
24	205	8009
25	206	7722
26	206	7457
27	207	7210
28	208	6980
29	209	6765
30	209	6563
31	210	6374
32	212	6215
33	212	6048
34	213	5889
35	214	5740
36	215	5599
37	215	5465
38	216	5338
39	217	5217
40	218	5101
41	218	4993
42	219	4889
43	220	4790
44	221	4694
45	221	4603
46	222	4515
47	223	4432
48	224	4356
49	225	4279
50	225	4205
51	226	4133
52	227	4064
53	228	3998
54	228	3934
55	229	3872
56	230	3812
57	231	3754
58	231	3699
59	232	3645
60	233	3593
61	234	3542
62	234	3493
63	235	3445
64	236	3400
65	237	3356
66	237	3313
67	238	3273
68	239	3233
69	240	3193
70	241	3155
71	241	3117
72	242	3080
73	243	3045
74	244	3010
75	244	2976
76	245	2943
77	246	2911
78	247	2879
79	247	2849
80	248	2819
81	249	2793
82	249	2761
83	250	2734
84	251	2707
85	252	2683
86	253	2657
87	254	2632
88	254	2607
89	255	2583
90	256	2559
91	256	2536
92	257	2513
93	258	2491
94	259	2469
95	259	2448
96	260	2427
97	261	2406
98	262	2387
99	263	2367
100	263	2348
101	264	2329
102	265	2310
103	266	2292
104	266	2275
105	267	2258
106	268	2240
107	269	2223
108	269	2206
109	270	2190
110	271	2174
111	272	2158
112	272	2142
113	273	2127
114	274	2111
115	275	2096
116	275	2081
117	276	2067
118	277	2052
119	278	2038
120	278	2025
121	279	2010
122	280	1997
123	281	1985
124	281	1972
125	282	1959
126	283	1946
127	283	1933
128	284	1921
129	285	1909
130	286	1898
131	286	1886
132	287	1874
133	288	1863
134	289	1853
135	289	1842
136	290	1831
137	291	1820
138	292	1810
139	292	1799
140	293	1789
141	294	1778
142	295	1768
143	295	1758
144	296	1748
145	297	1738
146	298	1729
147	298	1719
148	299	1710
149	300	1701
150	301	1692
151	301	1683
152	302	1674
153	303	1666
154	304	1657
155	304	1649
156	305	1640
157	306	1632
