iter	Passed	Remaining
0	177	177653
1	181	90358
2	182	60795
3	183	45748
4	184	36715
5	185	30696
6	186	26388
7	186	23161
8	187	20653
9	188	18649
10	189	17006
11	189	15636
12	190	14475
13	191	13484
14	192	12623
15	193	11873
16	193	11208
17	194	10617
18	195	10086
19	196	9612
20	196	9181
21	197	8788
22	198	8429
23	199	8100
24	199	7798
25	200	7520
26	201	7261
27	202	7020
28	202	6796
29	203	6593
30	204	6399
31	205	6220
32	206	6048
33	207	5886
34	207	5733
35	208	5588
36	209	5453
37	210	5324
38	211	5201
39	211	5083
40	212	4971
41	213	4866
42	214	4764
43	214	4667
44	215	4574
45	216	4486
46	217	4402
47	217	4323
48	218	4246
49	219	4170
50	220	4098
51	220	4028
52	221	3962
53	222	3898
54	223	3836
55	224	3777
56	224	3719
57	225	3663
58	226	3609
59	227	3556
60	227	3505
61	228	3456
62	229	3414
63	230	3370
64	231	3326
65	231	3282
66	232	3241
67	233	3195
68	233	3155
69	234	3117
70	235	3080
71	236	3043
72	236	3008
73	237	2973
74	238	2939
75	239	2906
76	239	2875
77	240	2843
78	241	2813
79	242	2783
80	242	2754
81	243	2727
82	244	2700
83	245	2674
84	245	2645
85	246	2619
86	246	2592
87	247	2567
88	248	2543
89	249	2520
90	250	2497
91	250	2474
92	251	2452
93	252	2431
94	252	2410
95	253	2389
96	254	2371
97	255	2354
98	256	2335
99	257	2316
100	258	2299
101	258	2279
102	259	2262
103	260	2245
104	261	2227
105	262	2211
106	262	2194
107	263	2178
108	264	2163
109	265	2147
110	266	2132
111	267	2117
112	268	2104
113	268	2090
114	269	2076
115	270	2061
116	271	2047
117	272	2034
118	272	2019
119	273	2007
120	274	1994
121	275	1983
122	276	1970
123	277	1959
124	278	1947
125	279	1938
126	280	1928
127	281	1915
128	282	1905
129	283	1895
130	284	1887
131	285	1876
132	286	1864
133	286	1853
134	287	1842
135	288	1831
136	289	1821
137	289	1809
138	290	1799
139	291	1788
140	291	1778
141	292	1768
142	293	1758
143	294	1748
144	294	1739
145	295	1729
146	296	1720
147	297	1710
148	297	1701
149	298	1692
150	299	1683
151	300	1674
152	300	1666
153	301	1657
154	302	1649
155	303	1640
156	303	1632
157	305	1625
158	306	1619
159	306	1611
160	307	1603
161	308	1595
162	309	1587
163	309	1580
164	310	1572
165	311	1564
166	312	1557
167	312	1549
168	313	1542
169	314	1535
170	315	1528
171	315	1520
172	316	1513
173	317	1507
174	318	1501
175	319	1494
176	320	1488
177	320	1481
178	321	1474
179	322	1468
180	322	1460
181	323	1453
182	324	1447
183	324	1440
184	325	1434
185	326	1428
186	327	1422
187	328	1416
188	328	1410
189	329	1404
190	330	1399
191	331	1395
192	332	1390
193	333	1385
194	334	1381
195	335	1376
196	336	1370
197	337	1365
198	337	1359
199	338	1354
200	339	1348
201	340	1343
202	340	1337
203	341	1332
204	342	1327
205	342	1321
206	343	1317
207	344	1312
208	345	1306
209	346	1301
210	346	1297
211	347	1291
212	348	1287
213	349	1282
214	349	1277
215	350	1272
216	351	1267
217	352	1263
218	352	1258
219	353	1253
220	354	1248
221	355	1244
222	355	1240
223	356	1235
224	357	1231
225	358	1226
226	358	1221
227	359	1217
228	360	1212
229	360	1208
230	361	1204
231	362	1199
232	363	1195
233	363	1191
234	364	1187
235	365	1183
236	366	1178
237	366	1174
238	367	1170
239	368	1166
240	369	1162
241	369	1158
242	370	1154
243	371	1150
244	372	1146
245	372	1143
246	373	1139
247	374	1135
248	375	1131
249	375	1127
250	376	1123
251	377	1120
252	378	1116
253	378	1112
254	379	1108
255	380	1105
256	381	1102
257	382	1098
258	382	1095
259	383	1091
260	384	1088
261	385	1084
262	385	1080
263	386	1077
264	387	1074
265	388	1070
266	388	1067
267	389	1063
268	390	1060
269	390	1057
270	391	1053
271	392	1050
272	393	1046
273	393	1043
274	394	1040
275	395	1037
276	396	1033
277	396	1030
278	397	1027
279	398	1024
280	399	1021
281	400	1018
282	400	1015
283	401	1012
284	402	1009
285	402	1006
286	403	1002
287	404	999
288	405	996
289	405	993
290	406	991
291	407	988
292	408	985
293	409	982
294	410	979
295	410	976
296	411	974
297	412	971
298	413	968
299	413	965
300	414	962
301	415	959
302	415	956
303	416	954
304	417	951
305	418	948
306	418	945
307	419	942
308	420	939
309	421	937
310	421	934
311	422	931
312	423	929
313	424	926
314	424	923
315	425	921
316	426	918
317	426	915
318	427	912
319	428	910
320	429	907
321	429	904
322	430	902
323	431	899
324	431	897
325	432	894
326	433	892
327	434	890
328	435	887
329	436	885
330	436	882
331	437	880
332	438	877
333	439	875
334	439	872
335	440	870
336	441	867
337	441	865
338	442	863
339	443	860
340	444	858
341	444	856
342	445	853
343	446	851
344	447	848
345	447	846
346	448	844
347	449	841
348	450	839
349	450	837
350	451	834
351	452	832
352	452	830
353	453	828
354	454	825
355	455	823
356	455	821
357	456	818
358	457	816
359	458	814
360	458	812
361	459	810
362	460	808
363	461	805
364	461	803
365	462	801
366	463	799
367	464	797
368	464	795
369	465	792
370	466	790
371	467	788
372	467	786
373	468	784
374	469	782
375	470	780
376	470	778
377	471	776
378	472	774
379	473	771
380	473	769
381	474	767
382	475	765
383	476	763
384	476	761
385	477	759
386	478	757
387	479	755
388	479	753
389	480	751
390	481	749
391	482	747
392	482	745
393	483	743
394	484	741
395	485	739
396	486	738
397	486	736
398	487	734
399	488	732
400	489	730
401	489	728
402	490	726
403	491	724
404	492	722
405	492	721
406	493	719
407	494	717
408	495	715
409	495	713
410	496	711
411	497	709
412	497	707
413	498	705
414	499	704
415	500	702
416	501	700
417	501	698
418	502	696
419	503	695
420	504	693
421	504	691
422	505	689
423	506	687
424	507	686
425	507	684
426	508	682
427	509	680
428	510	678
429	510	677
430	511	675
431	512	673
432	513	672
433	513	670
434	514	668
435	515	666
436	516	664
437	516	663
438	517	661
439	518	659
440	519	658
441	519	656
442	520	654
443	521	652
444	522	651
445	522	649
446	523	647
447	524	646
448	525	644
449	526	642
450	526	641
451	527	639
452	528	638
453	529	636
454	529	634
455	530	632
456	531	631
457	531	629
458	532	627
459	533	626
460	534	624
461	534	622
462	535	621
463	536	619
464	537	618
465	538	616
466	538	615
467	539	613
468	540	611
469	541	610
470	542	608
471	542	607
472	543	605
473	544	603
474	544	602
475	545	600
476	546	599
477	547	597
478	547	595
479	548	594
480	549	592
481	550	591
482	550	589
483	551	588
484	552	586
485	553	584
486	553	583
487	554	581
488	555	580
489	556	578
490	556	577
491	557	575
492	558	574
493	559	572
494	559	571
495	560	569
496	561	568
497	562	566
498	562	565
499	563	563
500	564	562
501	565	560
502	565	559
503	566	557
504	567	556
505	568	554
506	568	553
507	569	551
508	570	550
509	571	548
510	571	547
511	572	545
512	573	544
513	574	542
514	574	541
515	575	539
516	576	538
517	577	537
518	577	535
519	578	534
520	579	532
521	580	531
522	580	529
523	581	528
524	582	526
525	582	525
526	583	523
527	584	522
528	585	521
529	585	519
530	586	518
531	587	516
532	588	515
533	589	514
534	589	512
535	590	511
536	591	509
537	592	508
538	593	507
539	593	505
540	594	504
541	595	503
542	596	501
543	597	500
544	598	499
545	598	497
546	599	496
547	600	495
548	601	494
549	602	492
550	602	491
551	603	490
552	604	488
553	605	487
554	606	486
555	607	484
556	607	483
557	608	482
558	609	480
559	610	479
560	611	478
561	612	477
562	612	475
563	613	474
564	614	473
565	615	471
566	616	470
567	617	469
568	617	468
569	618	466
570	619	465
571	620	464
572	621	462
573	622	461
574	622	460
575	623	459
576	624	457
577	625	456
578	626	455
579	627	454
580	628	453
581	629	451
582	630	450
583	631	449
584	632	448
585	632	447
586	633	445
587	634	444
588	635	443
589	636	442
590	637	441
591	638	439
592	638	438
593	640	437
594	641	436
595	642	435
596	642	434
597	643	432
598	644	431
599	645	430
600	646	429
601	647	427
602	648	426
603	648	425
604	649	424
605	650	423
606	651	421
607	652	420
608	653	419
609	654	418
610	655	417
611	656	416
612	657	414
613	658	413
614	658	412
615	659	411
616	660	410
617	661	408
618	662	407
619	663	406
620	664	405
621	664	404
622	665	403
623	667	401
624	668	400
625	669	399
626	669	398
627	670	397
628	671	396
629	672	395
630	673	393
631	674	392
632	675	391
633	676	390
634	677	389
635	678	388
636	679	387
637	680	386
638	681	385
639	682	383
640	683	382
641	684	381
642	685	380
643	686	379
644	686	378
645	687	376
646	688	375
647	690	374
648	692	374
649	693	373
650	694	372
651	695	371
652	696	370
653	698	369
654	699	368
655	700	367
656	701	366
657	702	364
658	703	363
659	704	362
660	704	361
661	705	360
662	706	359
663	707	358
664	708	356
665	709	355
666	710	354
667	711	353
668	711	352
669	712	351
670	713	349
671	714	348
672	715	347
673	716	346
674	718	345
675	719	344
676	720	343
677	721	342
678	722	341
679	723	340
680	724	339
681	725	338
682	725	336
683	726	335
684	727	334
685	728	333
686	729	332
687	730	331
688	731	330
689	732	328
690	733	327
691	734	326
692	734	325
693	735	324
694	736	323
695	737	322
696	738	320
697	739	319
698	739	318
699	740	317
700	741	316
701	742	315
702	743	314
703	745	313
704	746	312
705	746	310
706	747	309
707	749	308
708	750	307
709	751	306
710	752	305
711	752	304
712	753	303
713	754	302
714	755	301
715	756	300
716	757	298
717	758	297
718	759	296
719	759	295
720	760	294
721	761	293
722	762	292
723	763	291
724	764	289
725	765	288
726	766	287
727	767	286
728	768	285
729	768	284
730	769	283
731	770	282
732	771	281
733	772	279
734	773	278
735	774	277
736	774	276
737	775	275
738	776	274
739	777	273
740	778	271
741	778	270
742	779	269
743	780	268
744	781	267
745	789	268
746	790	267
747	792	267
748	794	266
749	798	266
750	799	265
751	808	266
752	810	265
753	811	264
754	813	263
755	815	263
756	816	262
757	817	261
758	819	260
759	820	259
760	821	258
761	823	257
762	824	256
763	826	255
764	827	254
765	829	253
766	831	252
767	832	251
768	833	250
769	835	249
770	836	248
771	837	247
772	838	246
773	839	245
774	840	244
775	841	242
776	842	241
777	843	240
778	844	239
779	845	238
780	846	237
781	847	236
782	849	235
783	850	234
784	851	233
785	853	232
786	855	231
787	856	230
788	859	229
789	865	230
790	882	233
791	891	234
792	894	233
793	896	232
794	898	231
795	900	230
796	902	229
797	904	228
798	905	227
799	907	226
800	909	226
801	910	224
802	912	223
803	914	222
804	915	221
805	917	220
806	918	219
807	919	218
808	930	219
809	932	218
810	934	217
811	937	216
812	938	215
813	940	214
814	941	213
815	943	212
816	945	211
817	946	210
818	948	209
819	949	208
820	951	207
821	952	206
822	954	205
823	956	204
824	958	203
825	959	202
826	961	201
827	963	200
828	965	199
829	966	198
830	968	196
831	969	195
832	970	194
833	972	193
834	974	192
835	975	191
836	977	190
837	978	189
838	979	188
839	981	186
840	982	185
841	984	184
842	985	183
843	986	182
844	988	181
845	990	180
846	992	179
847	993	178
848	995	176
849	996	175
850	997	174
851	999	173
852	1000	172
853	1001	171
854	1003	170
855	1005	169
856	1006	167
857	1008	166
858	1009	165
859	1011	164
860	1012	163
861	1013	162
862	1015	161
863	1016	159
864	1018	158
865	1019	157
866	1020	156
867	1022	155
868	1023	154
869	1025	153
870	1026	152
871	1027	150
872	1029	149
873	1030	148
874	1032	147
875	1033	146
876	1034	145
877	1035	143
878	1037	142
879	1038	141
880	1039	140
881	1041	139
882	1042	138
883	1044	137
884	1046	135
885	1047	134
886	1050	133
887	1051	132
888	1055	131
889	1075	132
890	1077	131
891	1080	130
892	1085	130
893	1090	129
894	1092	128
895	1093	126
896	1094	125
897	1096	124
898	1097	123
899	1099	122
900	1100	120
901	1102	119
902	1103	118
903	1105	117
904	1106	116
905	1107	114
906	1109	113
907	1110	112
908	1112	111
909	1113	110
910	1114	108
911	1115	107
912	1117	106
913	1119	105
914	1121	104
915	1122	102
916	1124	101
917	1125	100
918	1129	99
919	1130	98
920	1131	97
921	1132	95
922	1133	94
923	1134	93
924	1135	92
925	1136	90
926	1137	89
927	1138	88
928	1140	87
929	1141	85
930	1142	84
931	1143	83
932	1145	82
933	1146	81
934	1147	79
935	1149	78
936	1150	77
937	1152	76
938	1153	74
939	1154	73
940	1155	72
941	1156	71
942	1157	69
943	1158	68
944	1159	67
945	1160	66
946	1161	65
947	1163	63
948	1164	62
949	1165	61
950	1166	60
951	1167	58
952	1168	57
953	1169	56
954	1170	55
955	1171	53
956	1172	52
957	1173	51
958	1174	50
959	1175	48
960	1176	47
961	1177	46
962	1178	45
963	1179	44
964	1180	42
965	1181	41
966	1181	40
967	1182	39
968	1183	37
969	1184	36
970	1185	35
971	1186	34
972	1187	32
973	1188	31
974	1189	30
975	1190	29
976	1191	28
977	1191	26
