iter	Passed	Remaining
0	3	331
1	6	325
2	9	318
3	12	296
4	15	291
5	18	288
6	21	280
7	23	268
8	25	254
9	26	241
10	28	231
11	30	221
12	31	211
13	32	202
14	34	195
15	35	188
16	37	182
17	38	175
18	39	169
19	40	163
20	42	158
21	42	152
22	43	147
23	44	142
24	45	137
25	46	132
26	47	128
27	48	124
28	49	120
29	49	116
30	50	113
31	51	109
32	52	106
33	53	103
34	53	100
35	54	97
36	55	94
37	56	91
38	57	89
39	57	86
40	58	84
41	59	81
42	59	79
43	60	76
44	61	74
45	62	72
46	62	70
47	63	68
48	64	67
49	65	65
50	65	63
51	66	61
52	67	59
53	68	58
54	68	56
55	69	54
56	70	53
57	71	51
58	71	49
59	72	48
60	73	46
61	74	45
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	78	37
68	79	35
69	80	34
70	81	33
71	82	31
72	82	30
73	83	29
74	84	28
75	85	26
76	86	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	98	7
93	99	6
94	100	5
95	101	4
96	101	3
97	102	2
98	103	1
99	104	0
